+------+--------------------------+--------------------------+----------+
| Game |         Player 1         |         Player 2         |  Winner  |
+------+--------------------------+--------------------------+----------+
|  1   |   [KC, TS, 9H, 8C, 4S]   |   [AC, 7D, 5D, 3S, 2S]   | Player 2 |
|  2   | [[AD, AC], [5C, 5D], 9C] |   [KS, TD, 8D, 7C, 5H]   | Player 1 |
|  3   |   [KC, JS, 7H, 6S, 3H]   |   [QH, JC, TD, 8S, 2D]   | Player 1 |
|  4   |  [[TH, TC], QS, 8H, 5C]  |  [[JC, JS], KS, 9H, 4D]  | Player 2 |
|  5   |   [KC, QH, JD, 7C, 5H]   | [[AS, AD], [4C, 4S], KH] | Player 2 |
|  6   |  [[9C, 9H], KS, 7D, 5H]  |  [[5D, 5C], AH, 8D, 3S]  | Player 1 |
|  7   |   [6H, 5C, 4H, 3H, 2H]   |   [AS, QH, 6S, 5S, 3S]   | Player 1 |
|  8   |  [[TD, TC], 8C, 7C, 4H]  |  [[KC, KS], 7S, 4C, 3H]  | Player 2 |
|  9   |   [KD, 9C, 7C, 6D, 3H]   |  [[QS, QC], AC, KH, 4C]  | Player 2 |
|  10  |  [[2H, 2D], JC, 6S, 5H]  |   [AS, KD, JS, 9D, 7C]   | Player 1 |
|  11  |   [AD, QH, TH, 9D, 8H]   |  [[AS, AC], TS, 6D, 3S]  | Player 2 |
|  12  |  [[5C, 5S], TC, 4S, 2H]  |   [KC, JD, TS, 6C, 3C]   | Player 1 |
|  13  |   [AS, QD, JS, 6H, 2C]   |   [KC, 9H, 8S, 4H, 3D]   | Player 1 |
|  14  |   [KD, 9S, 8S, 7C, 2S]   |  [[6D, 6S], KC, 4H, 3S]  | Player 2 |
|  15  |   [8C, 7D, 4D, 3C, 2D]   |  [[4S, 4H], QH, JD, 9S]  | Player 2 |
|  16  |   [KC, TC, 8C, 7S, 2D]   |   [AC, QD, TS, 8H, 5C]   | Player 2 |
|  17  |  [[6C, 6S], KH, QD, 3D]  |  [[AD, AS], QS, 8H, 2H]  | Player 2 |
|  18  | [[8D, 8S], [6S, 6C], 4C] |   [QH, TC, 9D, 7D, 6D]   | Player 1 |
|  19  |  [[8D, 8C], TS, 4C, 2S]  |  [[9S, 9D, 9C], AC, 3D]  | Player 2 |
|  20  |   [QS, JH, 4H, 3C, 2S]   |   [TD, 9H, 8S, 3D, 2D]   | Player 1 |
|  21  |   [QS, 8S, 6D, 5H, 3C]   |  [[7H, 7D], AS, JD, 8C]  | Player 2 |
|  22  |   [AS, JH, TD, 9D, 6H]   |   [KD, QC, JC, 9S, 6C]   | Player 1 |
|  23  |   [AH, QS, TH, 8S, 4D]   |  [[3C, 3D], AC, TS, 5C]  | Player 2 |
|  24  |   [JS, 8H, 5S, 4D, 3D]   |   [AD, TS, 8C, 6C, 3S]   | Player 2 |
|  25  |  [[5D, 5H], 7C, 6D, 3S]  |  [[5C, 5S], JC, 3D, 2H]  | Player 2 |
|  26  |   [KS, 6H, 5H, 3D, 2S]   |  [[JD, JS], 8H, 7H, 5D]  | Player 2 |
|  27  |   [AS, KH, QS, JS, 4H]   |   [KS, QC, TC, 7C, 6D]   | Player 1 |
|  28  |   [QS, JS, TS, 3D, 2H]   |   [AS, KD, JC, 9S, 4D]   | Player 2 |
|  29  |  [[5H, 5D], KH, QD, 4D]  |   [KD, JS, 7H, 4H, 3D]   | Player 1 |
|  30  |  [[9H, 9D], 6H, 5C, 2C]  |   [JC, TH, 9S, 6C, 2D]   | Player 1 |
|  31  |   [AS, QD, JH, 7D, 6D]   |   [QS, JS, 7C, 5C, 4D]   | Player 1 |
|  32  |   [AD, KH, QD, 8C, 3H]   |   [TH, 9D, 8H, 5S, 3S]   | Player 1 |
|  33  |  [[9S, 9D], AH, 8S, 4D]  |   [JS, TC, 8D, 4H, 3C]   | Player 1 |
|  34  |   [KS, QD, 5H, 3S, 2C]   |  [[AH, AD], TS, 9H, 8S]  | Player 2 |
|  35  |  [[5C, 5D], KD, 9H, 7H]  |   [AD, KS, 4D, 3D, 2D]   | Player 1 |
|  36  |  [[KS, KC], 9S, 6D, 2C]  | [[TS, TC], [9D, 9H], QH] | Player 2 |
|  37  |   [QH, 9C, 6H, 5D, 4D]   |   [AD, KH, QC, JS, 6D]   | Player 2 |
|  38  |  [[9S, 9D], JD, 5C, 3H]  |   [AS, QH, TC, 9H, 4D]   | Player 1 |
|  39  |   [JC, 9C, 6D, 3C, 2C]   |  [[9S, 9D], AD, KH, 7D]  | Player 2 |
|  40  |  [[JC, JS], KC, 9C, 7C]  |  [[3H, 3C], AS, KD, 7D]  | Player 1 |
|  41  |  [[QD, QS], KH, 3S, 2C]  | [[9H, 9C], [8S, 8H], JC] | Player 2 |
|  42  |   [KC, QH, 8D, 4C, 3C]   |  [[9H, 9D], AD, 6D, 4H]  | Player 2 |
|  43  |  [[KS, KH], QS, 7H, 3S]  |  [[5H, 5D], AD, JD, 7D]  | Player 1 |
|  44  | [[TH, TC], [2H, 2C], 6H] |  [[8D, 8C], AS, 7D, 4H]  | Player 1 |
|  45  |   [AC, QC, 4S, 3S, 2H]   |  [[4D, 4C], KH, TH, 6D]  | Player 2 |
